# kind	author	title	category
# 感情起伏の三百選(2026-08-17)から長編・分冊級 12 作を除外し、短中編 12 作を補充した本選 300。
# pool は照合不能・字数超過時の補充候補(上から順に採用)。author は青空文庫の 姓+名 表記。
main	芥川龍之介	羅生門	芥川
main	芥川龍之介	鼻	芥川
main	芥川龍之介	地獄変	芥川
main	芥川龍之介	藪の中	芥川
main	芥川龍之介	河童	芥川
main	芥川龍之介	歯車	芥川
main	芥川龍之介	或阿呆の一生	芥川
main	芥川龍之介	奉教人の死	芥川
main	芥川龍之介	杜子春	芥川
main	芥川龍之介	蜘蛛の糸	芥川
main	芥川龍之介	トロッコ	芥川
main	芥川龍之介	蜜柑	芥川
main	芥川龍之介	南京の基督	芥川
main	芥川龍之介	袈裟と盛遠	芥川
main	芥川龍之介	疑惑	芥川
main	芥川龍之介	玄鶴山房	芥川
main	芥川龍之介	点鬼簿	芥川
main	芥川龍之介	偸盗	芥川
main	芥川龍之介	枯野抄	芥川
main	芥川龍之介	戯作三昧	芥川
main	芥川龍之介	秋	芥川
main	芥川龍之介	開化の殺人	芥川
main	芥川龍之介	六の宮の姫君	芥川
main	芥川龍之介	アグニの神	芥川
main	芥川龍之介	舞踏会	芥川
main	芥川龍之介	魔術	芥川
main	太宰治	人間失格	太宰
main	太宰治	斜陽	太宰
main	太宰治	走れメロス	太宰
main	太宰治	ヴィヨンの妻	太宰
main	太宰治	駈込み訴え	太宰
main	太宰治	桜桃	太宰
main	太宰治	女生徒	太宰
main	太宰治	トカトントン	太宰
main	太宰治	魚服記	太宰
main	太宰治	道化の華	太宰
main	太宰治	姥捨	太宰
main	太宰治	富嶽百景	太宰
main	太宰治	東京八景	太宰
main	太宰治	津軽	太宰
main	太宰治	パンドラの匣	太宰
main	太宰治	グッド・バイ	太宰
main	太宰治	燈籠	太宰
main	太宰治	待つ	太宰
main	太宰治	きりぎりす	太宰
main	太宰治	皮膚と心	太宰
main	太宰治	満願	太宰
main	太宰治	おさん	太宰
main	太宰治	黄金風景	太宰
main	太宰治	畜犬談	太宰
main	夏目漱石	こころ	漱石
main	夏目漱石	それから	漱石
main	夏目漱石	門	漱石
main	夏目漱石	行人	漱石
main	夏目漱石	明暗	漱石
main	夏目漱石	坊っちゃん	漱石
main	夏目漱石	夢十夜	漱石
main	夏目漱石	虞美人草	漱石
main	夏目漱石	三四郎	漱石
main	夏目漱石	彼岸過迄	漱石
main	夏目漱石	道草	漱石
main	森鴎外	舞姫	鴎外
main	森鴎外	雁	鴎外
main	森鴎外	高瀬舟	鴎外
main	森鴎外	山椒大夫	鴎外
main	森鴎外	阿部一族	鴎外
main	森鴎外	最後の一句	鴎外
main	森鴎外	堺事件	鴎外
main	森鴎外	ヰタ・セクスアリス	鴎外
main	森鴎外	じいさんばあさん	鴎外
main	森鴎外	大塩平八郎	鴎外
main	泉鏡花	高野聖	鏡花
main	泉鏡花	外科室	鏡花
main	泉鏡花	夜叉ヶ池	鏡花
main	泉鏡花	婦系図	鏡花
main	泉鏡花	歌行灯	鏡花
main	泉鏡花	天守物語	鏡花
main	泉鏡花	義血侠血	鏡花
main	泉鏡花	眉かくしの霊	鏡花
main	泉鏡花	春昼	鏡花
main	泉鏡花	化鳥	鏡花
main	泉鏡花	琵琶伝	鏡花
main	樋口一葉	たけくらべ	一葉
main	樋口一葉	にごりえ	一葉
main	樋口一葉	十三夜	一葉
main	樋口一葉	大つごもり	一葉
main	樋口一葉	われから	一葉
main	樋口一葉	別れ霜	一葉
main	宮沢賢治	よだかの星	賢治
main	宮沢賢治	銀河鉄道の夜	賢治
main	宮沢賢治	注文の多い料理店	賢治
main	宮沢賢治	グスコーブドリの伝記	賢治
main	宮沢賢治	風の又三郎	賢治
main	宮沢賢治	なめとこ山の熊	賢治
main	宮沢賢治	オツベルと象	賢治
main	宮沢賢治	セロ弾きのゴーシュ	賢治
main	宮沢賢治	猫の事務所	賢治
main	宮沢賢治	フランドン農学校の豚	賢治
main	宮沢賢治	土神ときつね	賢治
main	宮沢賢治	貝の火	賢治
main	宮沢賢治	ひかりの素足	賢治
main	宮沢賢治	春と修羅	賢治
main	宮沢賢治	シグナルとシグナレス	賢治
main	中島敦	山月記	中島敦
main	中島敦	李陵	中島敦
main	中島敦	弟子	中島敦
main	中島敦	悟浄歎異	中島敦
main	中島敦	光と風と夢	中島敦
main	有島武郎	カインの末裔	有島
main	有島武郎	生まれいずる悩み	有島
main	有島武郎	小さき者へ	有島
main	有島武郎	クララの出家	有島
main	有島武郎	一房の葡萄	有島
main	梶井基次郎	檸檬	昭和抒情
main	梶井基次郎	桜の樹の下には	昭和抒情
main	堀辰雄	風立ちぬ	昭和抒情
main	堀辰雄	菜穂子	昭和抒情
main	織田作之助	夫婦善哉	昭和抒情
main	織田作之助	世相	昭和抒情
main	坂口安吾	桜の森の満開の下	安吾
main	坂口安吾	白痴	安吾
main	坂口安吾	夜長姫と耳男	安吾
main	坂口安吾	風博士	安吾
main	坂口安吾	いずこへ	安吾
main	坂口安吾	戦争と一人の女	安吾
main	島崎藤村	破戒	自然主義
main	島崎藤村	桜の実の熟する時	自然主義
main	島崎藤村	嵐	自然主義
main	田山花袋	蒲団	自然主義
main	田山花袋	田舎教師	自然主義
main	田山花袋	重右衛門の最後	自然主義
main	田山花袋	一兵卒	自然主義
main	田山花袋	少女病	自然主義
main	国木田独歩	春の鳥	自然主義
main	国木田独歩	窮死	自然主義
main	国木田独歩	竹の木戸	自然主義
main	国木田独歩	牛肉と馬鈴薯	自然主義
main	国木田独歩	運命論者	自然主義
main	国木田独歩	少年の悲哀	自然主義
main	徳田秋声	あらくれ	自然主義
main	徳田秋声	黴	自然主義
main	徳田秋声	爛	自然主義
main	正宗白鳥	入江のほとり	自然主義
main	岩野泡鳴	耽溺	自然主義
main	近松秋江	黒髪	自然主義
main	嘉村礒多	業苦	自然主義
main	葛西善蔵	子をつれて	自然主義
main	葛西善蔵	湖畔手記	自然主義
main	牧野信一	父を売る子	自然主義
main	長塚節	土	自然主義
main	島木健作	赤蛙	自然主義
main	島田清次郎	地上	自然主義
main	佐左木俊郎	熊の出る開墾地	自然主義
main	伊藤左千夫	野菊の墓	明治悲劇
main	徳冨蘆花	小説 不如帰	明治悲劇
main	尾崎紅葉	金色夜叉	明治悲劇
main	幸田露伴	五重塔	明治悲劇
main	幸田露伴	風流仏	明治悲劇
main	幸田露伴	運命	明治悲劇
main	広津柳浪	今戸心中	明治悲劇
main	高山樗牛	滝口入道	明治悲劇
main	二葉亭四迷	浮雲	明治悲劇
main	二葉亭四迷	平凡	明治悲劇
main	木下尚江	火の柱	明治悲劇
main	菊池寛	恩讐の彼方に	菊池寛
main	菊池寛	父帰る	菊池寛
main	菊池寛	真珠夫人	菊池寛
main	菊池寛	忠直卿行状記	菊池寛
main	菊池寛	形	菊池寛
main	菊池寛	入れ札	菊池寛
main	菊池寛	藤十郎の恋	菊池寛
main	菊池寛	俊寛	菊池寛
main	菊池寛	ある抗議書	菊池寛
main	谷崎潤一郎	刺青	耽美
main	谷崎潤一郎	春琴抄	耽美
main	谷崎潤一郎	痴人の愛	耽美
main	谷崎潤一郎	秘密	耽美
main	谷崎潤一郎	少年	耽美
main	谷崎潤一郎	麒麟	耽美
main	谷崎潤一郎	人魚の嘆き	耽美
main	永井荷風	濹東綺譚	耽美
main	永井荷風	すみだ川	耽美
main	永井荷風	つゆのあとさき	耽美
main	佐藤春夫	西班牙犬の家	耽美
main	室生犀星	性に眼覚める頃	耽美
main	室生犀星	或る少女の死まで	耽美
main	室生犀星	幼年時代	耽美
main	横光利一	春は馬車に乗って	新感覚
main	横光利一	花園の思想	新感覚
main	横光利一	機械	新感覚
main	横光利一	蠅	新感覚
main	横光利一	日輪	新感覚
main	江戸川乱歩	人間椅子	探偵怪奇
main	江戸川乱歩	パノラマ島綺譚	探偵怪奇
main	江戸川乱歩	押絵と旅する男	探偵怪奇
main	江戸川乱歩	屋根裏の散歩者	探偵怪奇
main	江戸川乱歩	D坂の殺人事件	探偵怪奇
main	江戸川乱歩	心理試験	探偵怪奇
main	江戸川乱歩	赤い部屋	探偵怪奇
main	江戸川乱歩	鏡地獄	探偵怪奇
main	江戸川乱歩	人でなしの恋	探偵怪奇
main	江戸川乱歩	白昼夢	探偵怪奇
main	江戸川乱歩	孤島の鬼	探偵怪奇
main	江戸川乱歩	双生児	探偵怪奇
main	江戸川乱歩	二癈人	探偵怪奇
main	江戸川乱歩	お勢登場	探偵怪奇
main	夢野久作	瓶詰地獄	探偵怪奇
main	夢野久作	少女地獄	探偵怪奇
main	夢野久作	キチガイ地獄	探偵怪奇
main	夢野久作	押絵の奇蹟	探偵怪奇
main	夢野久作	あやかしの鼓	探偵怪奇
main	夢野久作	死後の恋	探偵怪奇
main	夢野久作	人間腸詰	探偵怪奇
main	坂口安吾	不連続殺人事件	探偵怪奇
main	久生十蘭	湖畔	探偵怪奇
main	渡辺温	可哀相な姉	探偵怪奇
main	小酒井不木	恋愛曲線	探偵怪奇
main	村山槐多	悪魔の舌	探偵怪奇
main	海野十三	十八時の音楽浴	探偵怪奇
main	国枝史郎	神州纐纈城	探偵怪奇
main	豊島与志雄	野ざらし	探偵怪奇
main	小林多喜二	蟹工船	プロレタリア
main	小林多喜二	党生活者	プロレタリア
main	小林多喜二	一九二八年三月十五日	プロレタリア
main	葉山嘉樹	セメント樽の中の手紙	プロレタリア
main	葉山嘉樹	海に生くる人々	プロレタリア
main	葉山嘉樹	淫売婦	プロレタリア
main	黒島伝治	渦巻ける烏の群	プロレタリア
main	黒島伝治	二銭銅貨	プロレタリア
main	宮本百合子	貧しき人々の群	プロレタリア
main	宮本百合子	伸子	プロレタリア
main	宮本百合子	播州平野	プロレタリア
main	大杉栄	自叙伝	プロレタリア
main	林芙美子	放浪記	女性作家
main	林芙美子	風琴と魚の町	女性作家
main	林芙美子	清貧の書	女性作家
main	林芙美子	晩菊	女性作家
main	岡本かの子	老妓抄	女性作家
main	岡本かの子	金魚撩乱	女性作家
main	岡本かの子	鮨	女性作家
main	岡本かの子	家霊	女性作家
main	田村俊子	木乃伊の口紅	女性作家
main	壺井栄	二十四の瞳	女性作家
main	与謝野晶子	みだれ髪	詩歌
main	与謝野晶子	恋衣	詩歌
main	石川啄木	一握の砂	詩歌
main	石川啄木	悲しき玩具	詩歌
main	石川啄木	呼子と口笛	詩歌
main	中原中也	山羊の歌	詩歌
main	中原中也	在りし日の歌	詩歌
main	萩原朔太郎	月に吠える	詩歌
main	萩原朔太郎	青猫	詩歌
main	萩原朔太郎	氷島	詩歌
main	萩原朔太郎	猫町	詩歌
main	高村光太郎	智恵子抄	詩歌
main	高村光太郎	道程	詩歌
main	北原白秋	邪宗門	詩歌
main	島崎藤村	若菜集	詩歌
main	種田山頭火	草木塔	詩歌
main	三遊亭円朝	怪談牡丹灯籠	語り物
main	三遊亭円朝	真景累ヶ淵	語り物
main	三遊亭円朝	文七元結	語り物
main	三遊亭円朝	名人長二	語り物
main	岡本綺堂	修禅寺物語	語り物
main	岡本綺堂	番町皿屋敷	語り物
main	岡本綺堂	鳥辺山心中	語り物
main	柳田国男	遠野物語	語り物
main	折口信夫	死者の書	語り物
main	長谷川伸	瞼の母	大衆
main	長谷川伸	一本刀土俵入	大衆
main	押川春浪	海島冒険奇譚 海底軍艦	大衆
main	新美南吉	ごん狐	児童文学
main	新美南吉	おじいさんのランプ	児童文学
main	新美南吉	手袋を買いに	児童文学
main	小川未明	赤い蝋燭と人魚	児童文学
main	小川未明	野ばら	児童文学
main	小川未明	金の輪	児童文学
main	小川未明	牛女	児童文学
main	佐藤紅緑	あゝ玉杯に花うけて	児童文学
main	巌谷小波	こがね丸	児童文学
main	北条民雄	いのちの初夜	極限の手記
main	原民喜	夏の花	極限の手記
main	原民喜	廃墟から	極限の手記
main	久米正雄	受験生の手記	極限の手記
main	倉田百三	出家とその弟子	極限の手記
main	正岡子規	病牀六尺	極限の手記
main	梅崎春生	桜島	極限の手記
main	田中英光	オリンポスの果実	極限の手記
main	中勘助	妹の死	極限の手記
pool	国木田独歩	忘れえぬ人々	自然主義
pool	小川未明	月夜と眼鏡	児童文学
pool	太宰治	ロマネスク	太宰
pool	太宰治	雪の夜の話	太宰
pool	太宰治	貨幣	太宰
pool	菊池寛	三浦右衛門の最後	菊池寛
pool	芥川龍之介	或日の大石内蔵助	芥川
pool	芥川龍之介	お富の貞操	芥川
pool	芥川龍之介	妖婆	芥川
